month,day,year,hour,minute,gage
6,19,2021,13,57,1
6,24,2021,15,21,2
6,24,2021,15,26,3
6,24,2021,15,31,4
6,24,2021,15,37,5
6,24,2021,15,43,6
6,24,2021,15,48,7
6,24,2021,16,36,8
6,24,2021,16,40,9
6,24,2021,16,44,10
6,24,2021,16,55,11
6,25,2021,10,42,12
6,25,2021,14,48,13
6,25,2021,15,2,14
6,25,2021,15,4,15
6,25,2021,15,5,16
6,25,2021,15,5,17
6,25,2021,15,7,18
6,25,2021,15,7,19
6,25,2021,15,9,20
6,25,2021,15,14,21
6,25,2021,19,5,22
6,25,2021,19,33,23
6,25,2021,19,43,24
6,25,2021,19,47,25
6,25,2021,19,50,26
6,25,2021,19,55,27
6,25,2021,21,22,28
6,25,2021,21,27,29
6,25,2021,21,34,30
6,25,2021,21,43,31
6,25,2021,23,8,32
6,26,2021,0,0,33
6,26,2021,11,18,34
6,26,2021,11,21,35
6,26,2021,11,30,36
6,26,2021,11,32,37
6,26,2021,11,34,38
6,26,2021,11,36,39
6,26,2021,11,41,40
6,26,2021,11,45,41
6,26,2021,12,4,42
6,26,2021,13,5,43
6,26,2021,13,16,44
6,26,2021,13,24,45
6,26,2021,13,29,46
6,26,2021,17,17,47
6,27,2021,16,22,48
6,27,2021,16,26,49
6,27,2021,16,33,50
6,27,2021,20,19,51
6,27,2021,20,36,52
6,30,2021,13,26,53
6,30,2021,13,30,54
6,30,2021,13,32,55
6,30,2021,13,33,56
6,30,2021,13,34,57
6,30,2021,13,35,58
6,30,2021,13,36,59
6,30,2021,13,36,60
6,30,2021,13,37,61
6,30,2021,13,37,62
6,30,2021,13,38,63
6,30,2021,13,38,64
6,30,2021,13,39,65
6,30,2021,13,39,66
6,30,2021,13,40,67
6,30,2021,13,40,68
6,30,2021,13,41,69
6,30,2021,13,41,70
6,30,2021,13,42,71
6,30,2021,13,42,72
6,30,2021,13,43,73
6,30,2021,13,43,74
6,30,2021,13,44,75
6,30,2021,13,44,76
6,30,2021,13,44,77
6,30,2021,13,45,78
6,30,2021,13,45,79
6,30,2021,13,45,80
6,30,2021,13,46,81
6,30,2021,13,46,82
6,30,2021,13,47,83
6,30,2021,13,47,84
6,30,2021,13,48,85
6,30,2021,13,50,86
6,30,2021,13,51,87
6,30,2021,13,52,88
6,30,2021,13,53,89
6,30,2021,13,59,90
6,30,2021,16,10,91
6,30,2021,16,11,92
6,30,2021,16,17,93
7,1,2021,7,16,94
7,2,2021,16,38,95
7,2,2021,16,59,96
7,2,2021,17,9,97
7,2,2021,17,22,98
7,5,2021,15,27,99
7,5,2021,15,30,100
7,5,2021,15,37,101
7,5,2021,15,43,102
7,5,2021,15,53,103
7,5,2021,16,55,104
7,5,2021,17,6,105
7,5,2021,17,9,106
7,5,2021,17,11,107
7,5,2021,17,14,108
7,5,2021,17,16,109
7,5,2021,17,23,110
7,5,2021,17,31,111
7,5,2021,17,37,112
7,5,2021,20,55,113
7,5,2021,21,14,114
7,8,2021,18,24,115
7,8,2021,18,28,116
7,14,2021,14,17,117
7,14,2021,14,20,118
7,14,2021,16,4,119
7,14,2021,17,40,120
7,14,2021,17,41,121
7,14,2021,17,43,122
7,14,2021,17,50,123
7,14,2021,17,55,124
7,14,2021,18,2,125
7,14,2021,18,9,126
7,14,2021,18,16,127
7,14,2021,18,29,128
7,15,2021,8,57,129
7,16,2021,15,29,130
7,16,2021,15,40,131
7,17,2021,12,50,132
7,17,2021,12,51,133
7,17,2021,13,36,134
7,17,2021,14,4,135
7,17,2021,14,10,136
7,17,2021,14,28,137
7,17,2021,14,50,138
7,20,2021,16,36,139
7,20,2021,16,38,140
7,20,2021,16,40,141
7,20,2021,16,47,142
7,20,2021,16,48,143
7,20,2021,16,51,144
7,20,2021,16,55,145
7,20,2021,17,4,146
7,20,2021,20,42,147
7,21,2021,12,52,148
7,21,2021,12,52,149
7,21,2021,12,52,150
7,21,2021,12,53,151
7,21,2021,12,53,152
7,21,2021,12,54,153
7,21,2021,12,54,154
7,21,2021,12,55,155
7,21,2021,12,57,156
7,21,2021,12,59,157
7,22,2021,13,18,158
7,22,2021,13,25,159
7,22,2021,16,16,160
7,23,2021,12,46,161
7,23,2021,12,47,162
7,23,2021,12,48,163
7,23,2021,12,49,164
7,23,2021,12,49,165
7,23,2021,12,52,166
7,23,2021,12,53,167
7,23,2021,12,54,168
7,23,2021,12,54,169
7,23,2021,12,56,170
7,23,2021,12,58,171
7,23,2021,13,0,172
7,23,2021,13,1,173
7,23,2021,13,5,174
7,23,2021,13,7,175
7,23,2021,13,10,176
7,23,2021,13,14,177
7,23,2021,13,39,178
7,30,2021,13,10,179
7,30,2021,13,12,180
7,30,2021,13,13,181
7,30,2021,13,13,182
7,30,2021,13,14,183
7,30,2021,13,14,184
7,30,2021,13,15,185
7,30,2021,13,15,186
7,30,2021,13,17,187
7,30,2021,13,18,188
7,30,2021,13,19,189
7,30,2021,13,22,190
7,30,2021,13,23,191
7,30,2021,13,24,192
7,30,2021,13,24,193
7,30,2021,13,25,194
7,30,2021,13,26,195
7,30,2021,13,27,196
7,30,2021,13,28,197
7,30,2021,13,30,198
7,30,2021,13,31,199
7,30,2021,13,33,200
7,30,2021,13,35,201
7,30,2021,13,36,202
7,30,2021,13,38,203
7,30,2021,13,40,204
7,30,2021,13,45,205
7,30,2021,15,21,206
7,30,2021,15,48,207
7,30,2021,16,2,208
7,30,2021,16,58,209
7,30,2021,17,5,210
7,30,2021,17,43,211
7,30,2021,17,48,212
7,30,2021,18,9,213
7,30,2021,18,10,214
7,30,2021,18,11,215
7,31,2021,14,23,216
7,31,2021,14,43,217
7,31,2021,15,34,218
7,31,2021,16,56,219
8,2,2021,14,49,220
8,2,2021,15,0,221
8,2,2021,15,2,222
8,2,2021,15,3,223
8,2,2021,15,3,224
8,2,2021,15,4,225
8,2,2021,15,4,226
8,2,2021,15,4,227
8,2,2021,15,4,228
8,2,2021,15,4,229
8,2,2021,15,5,230
8,2,2021,15,5,231
8,2,2021,15,5,232
8,2,2021,15,5,233
8,2,2021,15,6,234
8,2,2021,15,6,235
8,2,2021,15,6,236
8,2,2021,15,6,237
8,2,2021,15,6,238
8,2,2021,15,7,239
8,2,2021,15,7,240
8,2,2021,15,7,241
8,2,2021,15,7,242
8,2,2021,15,7,243
8,2,2021,15,7,244
8,2,2021,15,7,245
8,2,2021,15,7,246
8,2,2021,15,7,247
8,2,2021,15,8,248
8,2,2021,15,8,249
8,2,2021,15,8,250
8,2,2021,15,8,251
8,2,2021,15,8,252
8,2,2021,15,8,253
8,2,2021,15,9,254
8,2,2021,15,9,255
8,2,2021,15,9,256
8,2,2021,15,10,257
8,2,2021,15,11,258
8,2,2021,15,12,259
8,2,2021,15,13,260
8,2,2021,15,16,261
8,2,2021,15,25,262
8,2,2021,15,26,263
8,2,2021,15,27,264
8,2,2021,15,28,265
8,2,2021,15,31,266
8,2,2021,15,33,267
8,2,2021,15,35,268
8,2,2021,15,37,269
8,2,2021,15,39,270
8,2,2021,15,40,271
8,2,2021,15,41,272
8,2,2021,15,42,273
8,2,2021,15,46,274
8,2,2021,15,48,275
8,2,2021,15,51,276
8,2,2021,15,53,277
8,2,2021,15,54,278
8,2,2021,15,56,279
8,2,2021,15,59,280
8,2,2021,16,0,281
8,2,2021,16,1,282
8,2,2021,16,3,283
8,2,2021,16,16,284
8,2,2021,16,29,285
8,2,2021,16,32,286
8,2,2021,16,35,287
8,2,2021,16,40,288
8,2,2021,16,42,289
8,2,2021,16,43,290
8,2,2021,16,44,291
8,2,2021,16,46,292
8,2,2021,16,48,293
8,2,2021,16,55,294
8,2,2021,16,56,295
8,2,2021,16,57,296
8,2,2021,16,59,297
8,2,2021,17,1,298
8,2,2021,17,4,299
8,2,2021,17,7,300
8,2,2021,17,9,301
8,2,2021,17,13,302
8,2,2021,17,15,303
8,2,2021,17,17,304
8,2,2021,17,19,305
8,2,2021,17,21,306
8,2,2021,17,24,307
8,2,2021,17,26,308
8,2,2021,17,29,309
8,2,2021,17,31,310
8,2,2021,17,32,311
8,2,2021,17,36,312
8,2,2021,17,39,313
8,2,2021,17,41,314
8,2,2021,17,43,315
8,2,2021,17,50,316
8,2,2021,18,6,317
8,2,2021,18,30,318
8,3,2021,9,33,319
8,3,2021,10,28,320
8,3,2021,10,53,321
8,3,2021,11,30,322
8,3,2021,12,21,323
8,3,2021,13,12,324
8,3,2021,15,59,325
8,3,2021,16,21,326
8,3,2021,17,20,327
8,3,2021,17,28,328
8,3,2021,17,40,329
8,3,2021,17,47,330
8,3,2021,17,51,331
8,3,2021,17,59,332
8,3,2021,18,2,333
8,3,2021,18,5,334
8,3,2021,18,7,335
8,3,2021,18,10,336
8,3,2021,18,12,337
8,3,2021,18,14,338
8,3,2021,18,16,339
8,3,2021,18,20,340
8,3,2021,18,24,341
8,3,2021,18,28,342
8,3,2021,18,32,343
8,3,2021,18,37,344
8,3,2021,18,42,345
8,3,2021,18,47,346
8,3,2021,18,52,347
8,3,2021,19,0,348
8,3,2021,19,6,349
8,3,2021,19,12,350
8,3,2021,19,18,351
8,3,2021,19,22,352
8,3,2021,19,26,353
8,3,2021,19,28,354
8,3,2021,19,35,355
8,3,2021,20,2,356
8,3,2021,20,11,357
8,3,2021,22,3,358
8,6,2021,11,51,359
8,6,2021,11,52,360
8,6,2021,11,53,361
8,6,2021,11,54,362
8,6,2021,11,54,363
8,6,2021,13,9,364
8,6,2021,15,12,365
8,6,2021,15,19,366
8,6,2021,15,19,367
8,6,2021,15,19,368
8,6,2021,15,20,369
8,6,2021,15,20,370
8,6,2021,15,21,371
8,6,2021,15,21,372
8,6,2021,17,43,373
8,6,2021,17,44,374
8,6,2021,17,44,375
8,6,2021,17,45,376
8,6,2021,17,45,377
8,6,2021,17,46,378
8,6,2021,17,47,379
8,6,2021,17,49,380
8,6,2021,17,50,381
8,6,2021,17,50,382
8,6,2021,17,52,383
8,6,2021,17,55,384
8,6,2021,17,59,385
8,6,2021,18,5,386
8,6,2021,18,13,387
8,6,2021,18,24,388
8,6,2021,18,34,389
8,6,2021,19,8,390
8,6,2021,19,18,391
8,6,2021,19,28,392
8,6,2021,20,16,393
8,6,2021,20,18,394
8,6,2021,20,20,395
8,6,2021,20,41,396
8,6,2021,21,13,397
8,6,2021,21,32,398
8,6,2021,22,41,399
8,13,2021,15,12,400
8,13,2021,15,14,401
8,13,2021,15,16,402
8,14,2021,18,18,403
8,15,2021,15,8,404
8,16,2021,14,36,405
8,16,2021,14,38,406
8,16,2021,14,39,407
8,16,2021,14,40,408
8,16,2021,14,41,409
8,16,2021,14,43,410
8,16,2021,14,44,411
8,16,2021,14,45,412
8,16,2021,14,45,413
8,16,2021,14,46,414
8,16,2021,14,46,415
8,16,2021,14,47,416
8,16,2021,14,47,417
8,16,2021,14,48,418
8,16,2021,14,48,419
8,16,2021,14,49,420
8,16,2021,14,50,421
8,16,2021,14,50,422
8,16,2021,14,51,423
8,16,2021,14,52,424
8,16,2021,14,52,425
