datetime,wtemp_a_1,ltemp_a_2,wtrhgt__3
11/16/2020 14:33,20.2,24.9,-41
11/16/2020 15:33,21.3,25.3,-41
11/16/2020 16:33,22.7,24.9,-41
11/16/2020 17:33,22,23.1,-41
11/16/2020 18:33,18.8,19.5,-41
11/16/2020 19:33,15.8,16.1,-41
11/16/2020 20:33,12.8,13.1,-41
11/16/2020 21:33,10.2,10.8,-41
11/16/2020 22:33,7.9,8.5,-41
11/16/2020 23:33,6.2,6.5,-41
11/17/2020 0:33,4.6,4.9,-41
11/17/2020 1:33,3.2,3.5,-41
11/17/2020 2:33,2.2,2.2,-41
11/17/2020 3:33,1.2,1.2,-41
11/17/2020 4:33,0.1,0.1,-41
11/17/2020 5:33,-0.6,-0.6,-41
11/17/2020 6:33,-1.3,-1.3,-41
11/17/2020 7:33,-1.6,-1.6,-41
11/17/2020 8:33,-2,-2,-41
11/17/2020 9:33,-1.3,-0.6,-41
11/17/2020 10:33,1.5,3.5,-46
11/17/2020 11:33,12.5,12.8,-46
11/17/2020 12:33,15.1,16.1,-45
11/17/2020 13:33,18.8,19.5,-45
11/17/2020 14:33,18.2,19.9,-46
11/17/2020 15:33,16.5,18.5,-46
11/17/2020 16:33,14.1,15.5,-46
11/17/2020 17:33,10.5,11.2,-46
11/17/2020 18:33,7.9,7.9,-46
11/17/2020 19:33,6.2,5.2,-46
11/17/2020 20:33,4.9,3.9,-46
11/17/2020 21:33,3.9,2.5,-46
11/17/2020 22:33,2.9,1.5,-46
11/17/2020 23:33,2.5,1.2,-46
11/18/2020 0:33,1.9,0.5,-46
11/18/2020 1:33,1.5,0.5,-46
11/18/2020 2:33,1.9,0.8,-45
11/18/2020 3:33,1.9,0.8,-45
11/18/2020 4:33,1.9,1.2,-45
11/18/2020 5:33,1.9,1.2,-45
11/18/2020 6:33,1.9,1.5,-45
11/18/2020 7:33,2.9,2.5,-45
11/18/2020 8:33,4.2,4.2,-45
11/18/2020 9:33,8.5,9.2,-45
11/18/2020 10:33,16.5,17.8,-45
11/18/2020 11:33,17.8,19.5,-45
11/18/2020 12:33,15.8,17.5,-45
11/18/2020 13:33,15.8,17.1,-45
11/18/2020 14:33,16.5,17.8,-45
11/18/2020 15:33,15.1,16.1,-46
11/18/2020 16:33,14.8,15.8,-45
11/18/2020 17:33,13.1,14.1,-46
11/18/2020 18:33,10.2,10.2,-46
11/18/2020 19:33,9.2,8.9,-46
11/18/2020 20:33,8.5,8.2,-46
11/18/2020 21:33,9.2,9.8,-44
11/18/2020 22:33,14.8,16.8,-45
11/18/2020 23:33,16.8,18.2,-45
11/19/2020 0:33,17.1,18.2,-45
11/19/2020 1:33,17.1,17.8,-45
11/19/2020 2:33,17.1,17.8,-45
11/19/2020 3:33,16.8,17.5,-45
11/19/2020 4:33,16.8,17.5,-45
11/19/2020 5:33,17.1,17.5,-45
11/19/2020 6:33,18.2,18.2,-45
11/19/2020 7:33,16.1,16.1,-44
11/19/2020 8:33,7.5,9.2,-45
11/19/2020 9:33,8.9,9.8,-42
11/19/2020 10:33,9.2,10.2,-42
11/19/2020 11:33,6.5,6.2,-44
11/19/2020 12:33,1.2,3.9,49
11/19/2020 13:33,0.1,2.2,16
11/19/2020 14:33,0.1,1.5,-3
11/19/2020 15:33,0.1,1.2,-6
11/19/2020 16:33,0.1,0.8,-8
11/19/2020 17:33,0.1,0.1,-8
11/19/2020 18:33,0.1,-0.2,-6
11/19/2020 19:33,0.1,-0.6,-8
11/19/2020 20:33,0.1,-0.9,-8
11/19/2020 21:33,0.1,-1.6,-8
11/19/2020 22:33,0.1,-2.7,-8
11/19/2020 23:33,0.1,-3.4,-8
11/20/2020 0:33,0.1,-3.8,-7
11/20/2020 1:33,0.1,-3.1,-7
11/20/2020 2:33,0.1,-2.3,-8
11/20/2020 3:33,0.1,-2.7,-8
11/20/2020 4:33,0.1,-2.7,-9
11/20/2020 5:33,0.1,-2.3,-9
11/20/2020 6:33,0.1,-2.7,-10
11/20/2020 7:33,-0.2,-3.1,-10
11/20/2020 8:33,-0.2,-2.7,-10
11/20/2020 9:33,0.1,-0.9,-10
11/20/2020 10:33,0.1,0.8,-10
11/20/2020 11:33,0.1,2.2,-10
11/20/2020 12:33,0.1,2.2,-10
11/20/2020 13:33,0.1,1.9,-10
11/20/2020 14:33,0.1,1.5,-10
11/20/2020 15:33,0.1,0.5,-10
11/20/2020 16:33,0.1,-1.3,-10
11/20/2020 17:33,-0.2,-3.4,-11
11/20/2020 18:33,-0.6,-4.9,-11
11/20/2020 19:33,-0.6,-5.3,-12
11/20/2020 20:33,-0.6,-4.9,-13
11/20/2020 21:33,-0.6,-4.9,-14
11/20/2020 22:33,-0.6,-5.7,-14
11/20/2020 23:33,-0.9,-6.4,-15
11/21/2020 0:33,-0.9,-6.8,-16
11/21/2020 1:33,-0.9,-6.8,-18
11/21/2020 2:33,-0.9,-6.1,-18
11/21/2020 3:33,-0.9,-5.7,-19
11/21/2020 4:33,-0.9,-4.5,-19
11/21/2020 5:33,-0.6,-3.8,-19
11/21/2020 6:33,-0.6,-3.4,-19
11/21/2020 7:33,-0.6,-3.8,-19
11/21/2020 8:33,-0.6,-2.7,-19
11/21/2020 9:33,-0.2,-1.3,-19
11/21/2020 10:33,-0.2,-0.6,-19
11/21/2020 11:33,-0.2,0.1,-19
11/21/2020 12:33,-0.2,2.2,-18
11/21/2020 13:33,-0.2,1.5,-19
11/21/2020 14:33,-0.2,-0.6,-19
11/21/2020 15:33,-0.6,-2.3,-19
11/21/2020 16:33,-0.9,-3.8,-20
11/21/2020 17:33,-0.9,-5.3,-20
11/21/2020 18:33,-1.3,-6.1,-20
11/21/2020 19:33,-1.3,-6.4,-20
11/21/2020 20:33,-1.6,-7.6,-20
11/21/2020 21:33,-2,-9.7,-21
11/21/2020 22:33,-2.3,-10.9,-21
11/21/2020 23:33,-2.7,-11.4,-21
11/22/2020 0:33,-2.7,-11.8,-21
11/22/2020 1:33,-2.7,-11.4,-21
11/22/2020 2:33,-2.7,-11.4,-21
11/22/2020 3:33,-2.7,-10.9,-21
11/22/2020 4:33,-2.7,-10.1,-21
11/22/2020 5:33,-2.7,-10.1,-22
11/22/2020 6:33,-2.7,-10.5,-21
11/22/2020 7:33,-3.1,-11.4,-22
11/22/2020 8:33,-3.4,-12.7,-22
11/22/2020 9:33,-3.1,-10.9,-22
11/22/2020 10:33,-2.3,-6.8,-21
11/22/2020 11:33,-1.6,-3.8,-21
11/22/2020 12:33,-1.3,-0.2,-21
11/22/2020 13:33,-0.9,-0.9,-21
11/22/2020 14:33,-0.9,-1.6,-21
11/22/2020 15:33,-0.9,-2,-21
11/22/2020 16:33,-1.3,-3.8,-21
11/22/2020 17:33,-1.3,-4.2,-21
11/22/2020 18:33,-1.3,-3.4,-21
11/22/2020 19:33,-1.3,-3.4,-21
11/22/2020 20:33,-0.9,-2.7,-21
11/22/2020 21:33,-0.6,-2,-21
11/22/2020 22:33,-0.6,-2.3,-21
11/22/2020 23:33,-0.6,-2.3,-21
11/23/2020 0:33,-0.6,-1.6,-21
11/23/2020 1:33,-0.2,-1.3,-20
11/23/2020 2:33,-0.2,-1.3,-20
11/23/2020 3:33,-0.2,-0.9,-20
11/23/2020 4:33,-0.2,-1.3,-20
11/23/2020 5:33,-0.6,-2.3,-21
11/23/2020 6:33,-0.6,-3.8,-21
11/23/2020 7:33,-0.9,-3.4,-21
11/23/2020 8:33,-0.6,-2,-20
11/23/2020 9:33,0.1,1.2,-20
11/23/2020 10:33,0.1,1.9,-20
11/23/2020 11:33,0.1,3.2,-20
11/23/2020 12:33,0.1,4.2,-19
11/23/2020 13:33,0.1,4.2,-20
11/23/2020 14:33,0.1,2.5,-19
11/23/2020 15:33,0.1,1.9,-19
11/23/2020 16:33,0.1,0.8,-19
