Gauge_ID   Storm_Index  Input_Units   Output_Units   Energy_Equation   Storm_Break_Hours   Storm_Break_Precip   Start_Date   Start_Time   Duration(hrs)   Precip(in)   Max_5_start_date    Max_5_start_time    Max_5_intensity     Max_10_start_date   Max_10_start_time   Max_10_intensity    Max_15_start_date   Max_15_start_time   Max_15_intensity    Max_20_start_date   Max_20_start_time   Max_20_intensity    Max_30_start_date   Max_30_start_time   Max_30_intensity    Max_60_start_date   Max_60_start_time   Max_60_intensity    Energy
CSV        1            0             0              2                 6                   0.05                 06/19/2021   13:52:00     0.08347222      0.01         06/19/2021          13:58:00            0.12                06/19/2021          13:52:00            0.05999999          06/19/2021          13:52:00            0.04                06/19/2021          13:52:00            0.03                06/19/2021          13:52:00            0.02                06/19/2021          13:52:00            0.01                0.00
CSV        2            0             0              2                 6                   0.05                 06/24/2021   15:16:00     1.65            0.1          06/24/2021          16:45:00            0.15                06/24/2021          16:40:00            0.144               06/24/2021          16:35:00            0.12                06/24/2021          15:22:00            0.114               06/24/2021          15:24:00            0.112               06/24/2021          15:22:00            0.05999999          49.00
CSV        3            0             0              2                 6                   0.05                 06/25/2021   10:37:00     13.38333        0.22         06/25/2021          15:10:00            0.6                 06/25/2021          15:05:00            0.396               06/25/2021          15:03:00            0.304               06/25/2021          15:00:00            0.24                06/25/2021          14:49:00            0.176               06/25/2021          14:49:00            0.09                129.47
CSV        4            0             0              2                 6                   0.05                 06/26/2021   11:13:00     6.066667        0.14         06/26/2021          11:37:00            0.3                 06/26/2021          11:36:00            0.228               06/26/2021          11:36:00            0.2                 06/26/2021          11:31:00            0.18                06/26/2021          11:21:00            0.152               06/26/2021          11:19:00            0.09                74.64
CSV        5            0             0              2                 6                   0.05                 06/27/2021   16:17:00     4.316667        0.05         06/27/2021          16:27:00            0.144               06/27/2021          16:23:00            0.12                06/27/2021          16:23:00            0.112               06/27/2021          16:23:00            0.09                06/27/2021          16:23:00            0.05999999          06/27/2021          16:23:00            0.03                24.50
CSV        6            0             0              2                 6                   0.05                 06/30/2021   13:21:00     2.933333        0.41         06/30/2021          13:48:00            1.44                06/30/2021          13:43:00            1.32                06/30/2021          13:39:00            1.16                06/30/2021          13:39:00            0.9899999           06/30/2021          13:29:00            0.732               06/30/2021          13:27:00            0.38                366.23
CSV        7            0             0              2                 6                   0.05                 07/01/2021   07:11:00     0.08347222      0.01         07/01/2021          07:17:00            0.12                07/01/2021          07:11:00            0.05999999          07/01/2021          07:11:00            0.04                07/01/2021          07:11:00            0.03                07/01/2021          07:11:00            0.02                07/01/2021          07:11:00            0.01                0.00
CSV        8            0             0              2                 6                   0.05                 07/02/2021   16:33:00     0.8166667       0.04         07/02/2021          17:23:00            0.12                07/02/2021          17:18:00            0.05999999          07/02/2021          17:00:00            0.08                07/02/2021          17:08:00            0.05999999          07/02/2021          16:58:00            0.05999999          07/02/2021          16:33:00            0.04                19.30
CSV        9            0             0              2                 6                   0.05                 07/05/2021   15:22:00     5.866667        0.16         07/05/2021          17:12:00            0.24                07/05/2021          17:12:00            0.24                07/05/2021          17:07:00            0.2                 07/05/2021          17:07:00            0.168               07/05/2021          17:07:00            0.14                07/05/2021          16:43:00            0.09                83.89
CSV        10           0             0              2                 6                   0.05                 07/08/2021   18:19:00     0.15            0.02         07/08/2021          18:29:00            0.144               07/08/2021          18:19:00            0.12                07/08/2021          18:19:00            0.08                07/08/2021          18:19:00            0.05999999          07/08/2021          18:19:00            0.04                07/08/2021          18:19:00            0.02                10.02
