site,date,time,datetime,manual_stage_cm,sensor_stage_cm,discharge_Ls,slug_mass_g,bck_cond_uS
bl4,6/1/2021,15:45,6/1/2021 15:45,34,,109.4,100,62.3
bl4,6/1/2021,15:45,6/1/2021 15:45,34,,111.2,100,62.8
bl4,6/11/2021,14:20,6/11/2021 14:20,23,,54.1,100,50.9
bl4,6/21/2021,14:15,6/21/2021 14:15,14,,8.616,100,58.3
bl4,6/21/2021,14:15,6/21/2021 14:15,14,,8.412,100,59.6
bl4,7/2/2021,14:00,7/2/2021 14:00,12,,9.1,100,61.3
bl4,7/2/2021,14:00,7/2/2021 14:00,12,,9.8,100,64.1
bl4,7/12/2021,13:30,7/12/2021 13:30,10,,5.1,100,63.1
bl4,7/12/2021,13:30,7/12/2021 13:30,10,,5.3,100,66.1
bl4,8/6/2021,8:45,8/6/2021 8:45,10,,2.5,100,72.9
bl4,8/6/2021,8:45,8/6/2021 8:45,10,,2.6,100,74.8
bl4,8/27/2021,9:10,8/27/2021 9:10,11,,3.21,100,70.3
bl4,8/27/2021,9:10,8/27/2021 9:10,11,,3.25,100,70.3
bl4,10/25/2021,10:45,10/25/2021 10:45,9,,4.057,100,70.3
bl4,10/25/2021,10:45,10/25/2021 10:45,9,,5.208,100,
